step 49, layer 0, module attn: 0
step 48, layer 3, module attn: 0
step 48, layer 3, module mlp: 0
step 48, layer 4, module attn: 0
step 48, layer 4, module mlp: 0
step 48, layer 5, module attn: 0
step 48, layer 5, module mlp: 0
step 48, layer 6, module attn: 0
step 48, layer 6, module mlp: 0
step 48, layer 7, module attn: 0
step 48, layer 7, module mlp: 0
step 48, layer 8, module attn: 0
step 48, layer 8, module mlp: 0
step 48, layer 9, module attn: 0
step 48, layer 9, module mlp: 0
step 48, layer 10, module attn: 0
step 48, layer 10, module mlp: 0
step 48, layer 11, module attn: 0
step 48, layer 11, module mlp: 0
step 48, layer 12, module attn: 0
step 48, layer 12, module mlp: 0
step 48, layer 13, module attn: 0
step 48, layer 13, module mlp: 0
step 48, layer 14, module attn: 0
step 48, layer 14, module mlp: 0
step 48, layer 15, module attn: 0
step 48, layer 15, module mlp: 0
step 48, layer 16, module attn: 0
step 48, layer 16, module mlp: 0
step 48, layer 17, module attn: 0
step 48, layer 17, module mlp: 0
step 48, layer 18, module attn: 0
step 48, layer 18, module mlp: 0
step 48, layer 19, module attn: 0
step 48, layer 19, module mlp: 0
step 48, layer 20, module attn: 0
step 48, layer 20, module mlp: 0
step 48, layer 21, module attn: 0
step 48, layer 21, module mlp: 0
step 48, layer 22, module attn: 0
step 48, layer 22, module mlp: 0
step 48, layer 23, module attn: 0
step 48, layer 23, module mlp: 0
step 48, layer 24, module attn: 0
step 48, layer 24, module mlp: 0
step 48, layer 25, module attn: 0
step 48, layer 25, module mlp: 0
step 48, layer 26, module attn: 0
step 48, layer 26, module mlp: 0
step 48, layer 27, module attn: 0
step 48, layer 27, module mlp: 0
step 44, layer 0, module attn: -4
step 44, layer 0, module mlp: -4
step 44, layer 1, module attn: 0
step 44, layer 1, module mlp: 0
step 44, layer 2, module attn: 0
step 44, layer 2, module mlp: 0
step 44, layer 3, module attn: 0
step 44, layer 3, module mlp: 0
step 44, layer 4, module attn: 0
step 44, layer 4, module mlp: 0
step 44, layer 5, module attn: 0
step 44, layer 5, module mlp: 0
step 44, layer 6, module attn: 0
step 44, layer 6, module mlp: 0
step 44, layer 7, module attn: 0
step 44, layer 7, module mlp: 0
step 44, layer 8, module attn: 0
step 44, layer 8, module mlp: 0
step 44, layer 9, module attn: 0
step 44, layer 9, module mlp: 0
step 44, layer 10, module attn: 0
step 44, layer 10, module mlp: 0
step 44, layer 11, module attn: 0
step 44, layer 11, module mlp: 0
step 44, layer 12, module attn: 0
step 44, layer 12, module mlp: 0
step 44, layer 13, module attn: 0
step 44, layer 13, module mlp: 0
step 44, layer 14, module attn: 0
step 44, layer 14, module mlp: 0
step 44, layer 15, module attn: 0
step 44, layer 15, module mlp: 0
step 44, layer 16, module attn: 0
step 44, layer 16, module mlp: 0
step 44, layer 17, module attn: 0
step 44, layer 17, module mlp: 0
step 44, layer 18, module attn: 0
step 44, layer 18, module mlp: 0
step 44, layer 19, module attn: 0
step 44, layer 19, module mlp: 0
step 44, layer 20, module attn: 0
step 44, layer 20, module mlp: 0
step 44, layer 21, module attn: 0
step 44, layer 21, module mlp: 0
step 44, layer 22, module attn: 0
step 44, layer 22, module mlp: 0
step 44, layer 23, module attn: 0
step 44, layer 23, module mlp: 0
step 44, layer 24, module attn: 0
step 44, layer 24, module mlp: 0
step 44, layer 25, module attn: 0
step 44, layer 25, module mlp: 0
step 44, layer 26, module attn: 0
step 44, layer 26, module mlp: 0
step 44, layer 27, module attn: 0
step 44, layer 27, module mlp: 0
step 40, layer 0, module attn: -4
step 40, layer 0, module mlp: -4
step 40, layer 1, module attn: 0
step 40, layer 1, module mlp: 0
step 40, layer 2, module attn: 0
step 40, layer 2, module mlp: 0
step 40, layer 3, module attn: 0
step 40, layer 3, module mlp: 0
step 40, layer 4, module attn: 0
step 40, layer 4, module mlp: 0
step 40, layer 5, module attn: 0
step 40, layer 5, module mlp: 0
step 40, layer 6, module attn: 0
step 40, layer 6, module mlp: 0
step 40, layer 7, module attn: 0
step 40, layer 7, module mlp: 0
step 40, layer 8, module attn: 0
step 40, layer 8, module mlp: 0
step 40, layer 9, module attn: 0
step 40, layer 9, module mlp: 0
step 40, layer 10, module attn: 0
step 40, layer 10, module mlp: 0
step 40, layer 11, module attn: 0
step 40, layer 11, module mlp: 0
step 40, layer 12, module attn: 0
step 40, layer 12, module mlp: 0
step 40, layer 13, module attn: 0
step 40, layer 13, module mlp: 0
step 40, layer 14, module attn: 0
step 40, layer 14, module mlp: 0
step 40, layer 15, module attn: 0
step 40, layer 15, module mlp: 0
step 40, layer 16, module attn: 0
step 40, layer 16, module mlp: 0
step 40, layer 17, module attn: 0
step 40, layer 17, module mlp: 0
step 40, layer 18, module attn: 0
step 40, layer 18, module mlp: 0
step 40, layer 19, module attn: 0
step 40, layer 19, module mlp: 0
step 40, layer 20, module attn: 0
step 40, layer 20, module mlp: 0
step 40, layer 21, module attn: 0
step 40, layer 21, module mlp: 0
step 40, layer 22, module attn: 0
step 40, layer 22, module mlp: 0
step 40, layer 23, module attn: 0
step 40, layer 23, module mlp: 0
step 40, layer 24, module attn: 0
step 40, layer 24, module mlp: 0
step 40, layer 25, module attn: 0
step 40, layer 25, module mlp: 0
step 40, layer 26, module attn: 0
step 40, layer 26, module mlp: 0
step 40, layer 27, module attn: 0
step 40, layer 27, module mlp: 0
step 36, layer 0, module attn: -4
step 36, layer 0, module mlp: -4
step 36, layer 1, module attn: 0
step 36, layer 1, module mlp: 0
step 36, layer 2, module attn: 0
step 36, layer 2, module mlp: 0
step 36, layer 3, module attn: 0
step 36, layer 3, module mlp: 0
step 36, layer 4, module attn: 0
step 36, layer 4, module mlp: 0
step 36, layer 5, module attn: 0
step 36, layer 5, module mlp: 0
step 36, layer 6, module attn: 0
step 36, layer 6, module mlp: 0
step 36, layer 7, module attn: 0
step 36, layer 7, module mlp: 0
step 36, layer 8, module attn: 0
step 36, layer 8, module mlp: 0
step 36, layer 9, module attn: 0
step 36, layer 9, module mlp: 0
step 36, layer 10, module attn: 0
step 36, layer 10, module mlp: 0
step 36, layer 11, module attn: 0
step 36, layer 11, module mlp: 0
step 36, layer 12, module attn: 0
step 36, layer 12, module mlp: 0
step 36, layer 13, module attn: 0
step 36, layer 13, module mlp: 0
step 36, layer 14, module attn: 0
step 36, layer 14, module mlp: 0
step 36, layer 15, module attn: 0
step 36, layer 15, module mlp: 0
step 36, layer 16, module attn: 0
step 36, layer 16, module mlp: 0
step 36, layer 17, module attn: 0
step 36, layer 17, module mlp: 0
step 36, layer 18, module attn: 0
step 36, layer 18, module mlp: 0
step 36, layer 19, module attn: 0
step 36, layer 19, module mlp: 0
step 36, layer 20, module attn: 0
step 36, layer 20, module mlp: 0
step 36, layer 21, module attn: 0
step 36, layer 21, module mlp: 0
step 36, layer 22, module attn: 0
step 36, layer 22, module mlp: 0
step 36, layer 23, module attn: 0
step 36, layer 23, module mlp: 0
step 36, layer 24, module attn: 0
step 36, layer 24, module mlp: 0
step 36, layer 25, module attn: 0
step 36, layer 25, module mlp: 0
step 36, layer 26, module attn: 0
step 36, layer 26, module mlp: 0
step 36, layer 27, module attn: 0
step 36, layer 27, module mlp: 0
step 32, layer 0, module attn: -4
step 32, layer 0, module mlp: -4
step 32, layer 1, module attn: 0
step 32, layer 1, module mlp: 0
step 32, layer 2, module attn: 0
step 32, layer 2, module mlp: 0
step 32, layer 3, module attn: 0
step 32, layer 3, module mlp: 0
step 32, layer 4, module attn: 0
step 32, layer 4, module mlp: 0
step 32, layer 5, module attn: 0
step 32, layer 5, module mlp: 0
step 32, layer 6, module attn: 0
step 32, layer 6, module mlp: 0
step 32, layer 7, module attn: 0
step 32, layer 7, module mlp: 0
step 32, layer 8, module attn: 0
step 32, layer 8, module mlp: 0
step 32, layer 9, module attn: 0
step 32, layer 9, module mlp: 0
step 32, layer 10, module attn: 0
step 32, layer 10, module mlp: 0
step 32, layer 11, module attn: 0
step 32, layer 11, module mlp: 0
step 32, layer 12, module attn: 0
step 32, layer 12, module mlp: 0
step 32, layer 13, module attn: 0
step 32, layer 13, module mlp: 0
step 32, layer 14, module attn: 0
step 32, layer 14, module mlp: 0
step 32, layer 15, module attn: 0
step 32, layer 15, module mlp: 0
step 32, layer 16, module attn: 0
step 32, layer 16, module mlp: 0
step 32, layer 17, module attn: 0
step 32, layer 17, module mlp: 0
step 32, layer 18, module attn: 0
step 32, layer 18, module mlp: 0
step 32, layer 19, module attn: 0
step 32, layer 19, module mlp: 0
step 32, layer 20, module attn: 0
step 32, layer 20, module mlp: 0
step 32, layer 21, module attn: 0
step 32, layer 21, module mlp: 0
step 32, layer 22, module attn: 0
step 32, layer 22, module mlp: 0
step 32, layer 23, module attn: 0
step 32, layer 23, module mlp: 0
step 32, layer 24, module attn: 0
step 32, layer 24, module mlp: 0
step 32, layer 25, module attn: 0
step 32, layer 25, module mlp: 0
step 32, layer 26, module attn: 0
step 32, layer 26, module mlp: 0
step 32, layer 27, module attn: 0
step 32, layer 27, module mlp: 0
step 28, layer 0, module attn: -4
step 28, layer 0, module mlp: -4
step 28, layer 1, module attn: 0
step 28, layer 1, module mlp: 0
step 28, layer 2, module attn: 0
step 28, layer 2, module mlp: 0
step 28, layer 3, module attn: 0
step 28, layer 3, module mlp: 0
step 28, layer 4, module attn: 0
step 28, layer 4, module mlp: 0
step 28, layer 5, module attn: 0
step 28, layer 5, module mlp: 0
step 28, layer 6, module attn: 0
step 28, layer 6, module mlp: 0
step 28, layer 7, module attn: 0
step 28, layer 7, module mlp: 0
step 28, layer 8, module attn: 0
step 28, layer 8, module mlp: 0
step 28, layer 9, module attn: 0
step 28, layer 9, module mlp: 0
step 28, layer 10, module attn: 0
step 28, layer 10, module mlp: 0
step 28, layer 11, module attn: 0
step 28, layer 11, module mlp: 0
step 28, layer 12, module attn: 0
step 28, layer 12, module mlp: 0
step 28, layer 13, module attn: 0
step 28, layer 13, module mlp: 0
step 28, layer 14, module attn: 0
step 28, layer 14, module mlp: 0
step 28, layer 15, module attn: 0
step 28, layer 15, module mlp: 0
step 28, layer 16, module attn: 0
step 28, layer 16, module mlp: 0
step 28, layer 17, module attn: 0
step 28, layer 17, module mlp: 0
step 28, layer 18, module attn: 0
step 28, layer 18, module mlp: 0
step 28, layer 19, module attn: 0
step 28, layer 19, module mlp: 0
step 28, layer 20, module attn: 0
step 28, layer 20, module mlp: 0
step 28, layer 21, module attn: 0
step 28, layer 21, module mlp: 0
step 28, layer 22, module attn: 0
step 28, layer 22, module mlp: 0
step 28, layer 23, module attn: 0
step 28, layer 23, module mlp: 0
step 28, layer 24, module attn: 0
step 28, layer 24, module mlp: 0
step 28, layer 25, module attn: 0
step 28, layer 25, module mlp: 0
step 28, layer 26, module attn: 0
step 28, layer 26, module mlp: 0
step 28, layer 27, module attn: 0
step 28, layer 27, module mlp: 0
step 24, layer 0, module attn: -4
step 24, layer 0, module mlp: -4
step 24, layer 1, module attn: 0
step 24, layer 1, module mlp: 0
step 24, layer 2, module attn: 0
step 24, layer 2, module mlp: 0
step 24, layer 3, module attn: 0
step 24, layer 3, module mlp: 0
step 24, layer 4, module attn: 0
step 24, layer 4, module mlp: 0
step 24, layer 5, module attn: 0
step 24, layer 5, module mlp: 0
step 24, layer 6, module attn: 0
step 24, layer 6, module mlp: 0
step 24, layer 7, module attn: 0
step 24, layer 7, module mlp: 0
step 24, layer 8, module attn: 0
step 24, layer 8, module mlp: 0
step 24, layer 9, module attn: 0
step 24, layer 9, module mlp: 0
step 24, layer 10, module attn: 0
step 24, layer 10, module mlp: 0
step 24, layer 11, module attn: 0
step 24, layer 11, module mlp: 0
step 24, layer 12, module attn: 0
step 24, layer 12, module mlp: 0
step 24, layer 13, module attn: 0
step 24, layer 13, module mlp: 0
step 24, layer 14, module attn: 0
step 24, layer 14, module mlp: 0
step 24, layer 15, module attn: 0
step 24, layer 15, module mlp: 0
step 24, layer 16, module attn: 0
step 24, layer 16, module mlp: 0
step 24, layer 17, module attn: 0
step 24, layer 17, module mlp: 0
step 24, layer 18, module attn: 0
step 24, layer 18, module mlp: 0
step 24, layer 19, module attn: 0
step 24, layer 19, module mlp: 0
step 24, layer 20, module attn: 0
step 24, layer 20, module mlp: 0
step 24, layer 21, module attn: 0
step 24, layer 21, module mlp: 0
step 24, layer 22, module attn: 0
step 24, layer 22, module mlp: 0
step 24, layer 23, module attn: 0
step 24, layer 23, module mlp: 0
step 24, layer 24, module attn: 0
step 24, layer 24, module mlp: 0
step 24, layer 25, module attn: 0
step 24, layer 25, module mlp: 0
step 24, layer 26, module attn: 0
step 24, layer 26, module mlp: 0
step 24, layer 27, module attn: 0
step 24, layer 27, module mlp: 0
step 20, layer 0, module attn: -4
step 20, layer 0, module mlp: -4
step 20, layer 1, module attn: 0
step 20, layer 1, module mlp: 0
step 20, layer 2, module attn: 0
step 20, layer 2, module mlp: 0
step 20, layer 3, module attn: 0
step 20, layer 3, module mlp: 0
step 20, layer 4, module attn: 0
step 20, layer 4, module mlp: 0
step 20, layer 5, module attn: 0
step 20, layer 5, module mlp: 0
step 20, layer 6, module attn: 0
step 20, layer 6, module mlp: 0
step 20, layer 7, module attn: 0
step 20, layer 7, module mlp: 0
step 20, layer 8, module attn: 0
step 20, layer 8, module mlp: 0
step 20, layer 9, module attn: 0
step 20, layer 9, module mlp: 0
step 20, layer 10, module attn: 0
step 20, layer 10, module mlp: 0
step 20, layer 11, module attn: 0
step 20, layer 11, module mlp: 0
step 20, layer 12, module attn: 0
step 20, layer 12, module mlp: 0
step 20, layer 13, module attn: 0
step 20, layer 13, module mlp: 0
step 20, layer 14, module attn: 0
step 20, layer 14, module mlp: 0
step 20, layer 15, module attn: 0
step 20, layer 15, module mlp: 0
step 20, layer 16, module attn: 0
step 20, layer 16, module mlp: 0
step 20, layer 17, module attn: 0
step 20, layer 17, module mlp: 0
step 20, layer 18, module attn: 0
step 20, layer 18, module mlp: 0
step 20, layer 19, module attn: 0
step 20, layer 19, module mlp: 0
step 20, layer 20, module attn: 0
step 20, layer 20, module mlp: 0
step 20, layer 21, module attn: 0
step 20, layer 21, module mlp: 0
step 20, layer 22, module attn: 0
step 20, layer 22, module mlp: 0
step 20, layer 23, module attn: 0
step 20, layer 23, module mlp: 0
step 20, layer 24, module attn: 0
step 20, layer 24, module mlp: 0
step 20, layer 25, module attn: 0
step 20, layer 25, module mlp: 0
step 20, layer 26, module attn: 0
step 20, layer 26, module mlp: 0
step 20, layer 27, module attn: 0
step 20, layer 27, module mlp: 0
step 16, layer 0, module attn: -4
step 16, layer 0, module mlp: -4
step 16, layer 1, module attn: 0
step 16, layer 1, module mlp: 0
step 16, layer 2, module attn: 0
step 16, layer 2, module mlp: 0
step 16, layer 3, module attn: 0
step 16, layer 3, module mlp: 0
step 16, layer 4, module attn: 0
step 16, layer 4, module mlp: 0
step 16, layer 5, module attn: 0
step 16, layer 5, module mlp: 0
step 16, layer 6, module attn: 0
step 16, layer 6, module mlp: 0
step 16, layer 7, module attn: 0
step 16, layer 7, module mlp: 0
step 16, layer 8, module attn: 0
step 16, layer 8, module mlp: 0
step 16, layer 9, module attn: 0
step 16, layer 9, module mlp: 0
step 16, layer 10, module attn: 0
step 16, layer 10, module mlp: 0
step 16, layer 11, module attn: 0
step 16, layer 11, module mlp: 0
step 16, layer 12, module attn: 0
step 16, layer 12, module mlp: 0
step 16, layer 13, module attn: 0
step 16, layer 13, module mlp: 0
step 16, layer 14, module attn: 0
step 16, layer 14, module mlp: 0
step 16, layer 15, module attn: 0
step 16, layer 15, module mlp: 0
step 16, layer 16, module attn: 0
step 16, layer 16, module mlp: 0
step 16, layer 17, module attn: 0
step 16, layer 17, module mlp: 0
step 16, layer 18, module attn: 0
step 16, layer 18, module mlp: 0
step 16, layer 19, module attn: 0
step 16, layer 19, module mlp: 0
step 16, layer 20, module attn: 0
step 16, layer 20, module mlp: 0
step 16, layer 21, module attn: 0
step 16, layer 21, module mlp: 0
step 16, layer 22, module attn: 0
step 16, layer 22, module mlp: 0
step 16, layer 23, module attn: 0
step 16, layer 23, module mlp: 0
step 16, layer 24, module attn: 0
step 16, layer 24, module mlp: 0
step 16, layer 25, module attn: 0
step 16, layer 25, module mlp: 0
step 16, layer 26, module attn: 0
step 16, layer 26, module mlp: 0
step 16, layer 27, module attn: 0
step 16, layer 27, module mlp: 0
step 12, layer 0, module attn: -4
step 12, layer 0, module mlp: -4
step 12, layer 1, module attn: 0
step 12, layer 1, module mlp: 0
step 12, layer 2, module attn: 0
step 12, layer 2, module mlp: 0
step 12, layer 3, module attn: 0
step 12, layer 3, module mlp: 0
step 12, layer 4, module attn: 0
step 12, layer 4, module mlp: 0
step 12, layer 5, module attn: 0
step 12, layer 5, module mlp: 0
step 12, layer 6, module attn: 0
step 12, layer 6, module mlp: 0
step 12, layer 7, module attn: 0
step 12, layer 7, module mlp: 0
step 12, layer 8, module attn: 0
step 12, layer 8, module mlp: 0
step 12, layer 9, module attn: 0
step 12, layer 9, module mlp: 0
step 12, layer 10, module attn: 0
step 12, layer 10, module mlp: 0
step 12, layer 11, module attn: 0
step 12, layer 11, module mlp: 0
step 12, layer 12, module attn: 0
step 12, layer 12, module mlp: 0
step 12, layer 13, module attn: 0
step 12, layer 13, module mlp: 0
step 12, layer 14, module attn: 0
step 12, layer 14, module mlp: 0
step 12, layer 15, module attn: 0
step 12, layer 15, module mlp: 0
step 12, layer 16, module attn: 0
step 12, layer 16, module mlp: 0
step 12, layer 17, module attn: 0
step 12, layer 17, module mlp: 0
step 12, layer 18, module attn: 0
step 12, layer 18, module mlp: 0
step 12, layer 19, module attn: 0
step 12, layer 19, module mlp: 0
step 12, layer 20, module attn: 0
step 12, layer 20, module mlp: 0
step 12, layer 21, module attn: 0
step 12, layer 21, module mlp: 0
step 12, layer 22, module attn: 0
step 12, layer 22, module mlp: 0
step 12, layer 23, module attn: 0
step 12, layer 23, module mlp: 0
step 12, layer 24, module attn: 0
step 12, layer 24, module mlp: 0
step 12, layer 25, module attn: 0
step 12, layer 25, module mlp: 0
step 12, layer 26, module attn: 0
step 12, layer 26, module mlp: 0
step 12, layer 27, module attn: 0
step 12, layer 27, module mlp: 0
step 8, layer 0, module attn: -4
step 8, layer 0, module mlp: -4
step 8, layer 1, module attn: 0
step 8, layer 1, module mlp: 0
step 8, layer 2, module attn: 0
step 8, layer 2, module mlp: 0
step 8, layer 3, module attn: 0
step 8, layer 3, module mlp: 0
step 8, layer 4, module attn: 0
step 8, layer 4, module mlp: 0
step 8, layer 5, module attn: 0
step 8, layer 5, module mlp: 0
step 8, layer 6, module attn: 0
step 8, layer 6, module mlp: 0
step 8, layer 7, module attn: 0
step 8, layer 7, module mlp: 0
step 8, layer 8, module attn: 0
step 8, layer 8, module mlp: 0
step 8, layer 9, module attn: 0
step 8, layer 9, module mlp: 0
step 8, layer 10, module attn: 0
step 8, layer 10, module mlp: 0
step 8, layer 11, module attn: 0
step 8, layer 11, module mlp: 0
step 8, layer 12, module attn: 0
step 8, layer 12, module mlp: 0
step 8, layer 13, module attn: 0
step 8, layer 13, module mlp: 0
step 8, layer 14, module attn: 0
step 8, layer 14, module mlp: 0
step 8, layer 15, module attn: 0
step 8, layer 15, module mlp: 0
step 8, layer 16, module attn: 0
step 8, layer 16, module mlp: 0
step 8, layer 17, module attn: 0
step 8, layer 17, module mlp: 0
step 8, layer 18, module attn: 0
step 8, layer 18, module mlp: 0
step 8, layer 19, module attn: 0
step 8, layer 19, module mlp: 0
step 8, layer 20, module attn: 0
step 8, layer 20, module mlp: 0
step 8, layer 21, module attn: 0
step 8, layer 21, module mlp: 0
step 8, layer 22, module attn: 0
step 8, layer 22, module mlp: 0
step 8, layer 23, module attn: 0
step 8, layer 23, module mlp: 0
step 8, layer 24, module attn: 0
step 8, layer 24, module mlp: 0
step 8, layer 25, module attn: 0
step 8, layer 25, module mlp: 0
step 8, layer 26, module attn: 0
step 8, layer 26, module mlp: 0
step 8, layer 27, module attn: 0
step 8, layer 27, module mlp: 0
step 4, layer 0, module attn: -4
step 4, layer 0, module mlp: -4
step 4, layer 1, module attn: 0
step 4, layer 1, module mlp: 0
step 4, layer 2, module attn: 0
step 4, layer 2, module mlp: 0
step 4, layer 3, module attn: 0
step 4, layer 3, module mlp: 0
step 4, layer 4, module attn: 0
step 4, layer 4, module mlp: 0
step 4, layer 5, module attn: 0
step 4, layer 5, module mlp: 0
step 4, layer 6, module attn: 0
step 4, layer 6, module mlp: 0
step 4, layer 7, module attn: 0
step 4, layer 7, module mlp: 0
step 4, layer 8, module attn: 0
step 4, layer 8, module mlp: 0
step 4, layer 9, module attn: 0
step 4, layer 9, module mlp: 0
step 4, layer 10, module attn: 0
step 4, layer 10, module mlp: 0
step 4, layer 11, module attn: 0
step 4, layer 11, module mlp: 0
step 4, layer 12, module attn: 0
step 4, layer 12, module mlp: 0
step 4, layer 13, module attn: 0
step 4, layer 13, module mlp: 0
step 4, layer 14, module attn: 0
step 4, layer 14, module mlp: 0
step 4, layer 15, module attn: 0
step 4, layer 15, module mlp: 0
step 4, layer 16, module attn: 0
step 4, layer 16, module mlp: 0
step 4, layer 17, module attn: 0
step 4, layer 17, module mlp: 0
step 4, layer 18, module attn: 0
step 4, layer 18, module mlp: 0
step 4, layer 19, module attn: 0
step 4, layer 19, module mlp: 0
step 4, layer 20, module attn: 0
step 4, layer 20, module mlp: 0
step 4, layer 21, module attn: 0
step 4, layer 21, module mlp: 0
step 4, layer 22, module attn: 0
step 4, layer 22, module mlp: 0
step 4, layer 23, module attn: 0
step 4, layer 23, module mlp: 0
step 4, layer 24, module attn: 0
step 4, layer 24, module mlp: 0
step 4, layer 25, module attn: 0
step 4, layer 25, module mlp: 0
step 4, layer 26, module attn: 0
step 4, layer 26, module mlp: 0
step 4, layer 27, module attn: 0
step 4, layer 27, module mlp: 0
step 0, layer 0, module attn: -4
step 0, layer 0, module mlp: -4
step 0, layer 1, module attn: 0
step 0, layer 1, module mlp: 0
step 0, layer 2, module attn: 0
step 0, layer 2, module mlp: 0
step 0, layer 3, module attn: 0
step 0, layer 3, module mlp: 0
step 0, layer 4, module attn: 0
step 0, layer 4, module mlp: 0
step 0, layer 5, module attn: 0
step 0, layer 5, module mlp: 0
step 0, layer 6, module attn: 0
step 0, layer 6, module mlp: 0
step 0, layer 7, module attn: 0
step 0, layer 7, module mlp: 0
step 0, layer 8, module attn: 0
step 0, layer 8, module mlp: 0
step 0, layer 9, module attn: 0
step 0, layer 9, module mlp: 0
step 0, layer 10, module attn: 0
step 0, layer 10, module mlp: 0
step 0, layer 11, module attn: 0
step 0, layer 11, module mlp: 0
step 0, layer 12, module attn: 0
step 0, layer 12, module mlp: 0
step 0, layer 13, module attn: 0
step 0, layer 13, module mlp: 0
step 0, layer 14, module attn: 0
step 0, layer 14, module mlp: 0
step 0, layer 15, module attn: 0
step 0, layer 15, module mlp: 0
step 0, layer 16, module attn: 0
step 0, layer 16, module mlp: 0
step 0, layer 17, module attn: 0
step 0, layer 17, module mlp: 0
step 0, layer 18, module attn: 0
step 0, layer 18, module mlp: 0
step 0, layer 19, module attn: 0
step 0, layer 19, module mlp: 0
step 0, layer 20, module attn: 0
step 0, layer 20, module mlp: 0
step 0, layer 21, module attn: 0
step 0, layer 21, module mlp: 0
step 0, layer 22, module attn: 0
step 0, layer 22, module mlp: 0
step 0, layer 23, module attn: 0
step 0, layer 23, module mlp: 0
step 0, layer 24, module attn: 0
step 0, layer 24, module mlp: 0
step 0, layer 25, module attn: 0
step 0, layer 25, module mlp: 0
step 0, layer 26, module attn: 0
step 0, layer 26, module mlp: 0
step 0, layer 27, module attn: 0
step 0, layer 27, module mlp: 0
